platform,rank,cover_img,title,artist,playtime
멜론,50,https://cdn.chartin.me/image/album/melon/11240232.jpg?v=1706952244533&size=80,퀸카 (Queencard),(여자)아이들,2:42
멜론,51,https://cdn.chartin.me/image/album/melon/10307346.jpg?v=1706952232579&size=80,한 페이지가 될 수 있게,DAY6 (데이식스),3:26
멜론,52,https://cdn.chartin.me/image/album/melon/11280645.jpg?v=1706952245561&size=80,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴,4:19
멜론,53,https://cdn.chartin.me/image/album/melon/11339556.jpg?v=1706952249348&size=80,You & Me,제니 (JENNIE),3:00
멜론,54,https://cdn.chartin.me/image/album/melon/11011565.jpg?v=1706952238851&size=80,Hype Boy,NewJeans,2:57
멜론,55,https://cdn.chartin.me/image/album/melon/10871162.jpg?v=1706952237086&size=80,사랑인가 봐,멜로망스,3:05
멜론,56,https://cdn.chartin.me/image/album/melon/11127145.jpg?v=1706952240377&size=80,Ditto,NewJeans,3:06
멜론,57,https://cdn.chartin.me/image/album/melon/11309190.jpg?v=1706952247353&size=80,후라이의 꿈,AKMU (악뮤),3:25
멜론,58,https://cdn.chartin.me/image/album/melon/11281456.jpg?v=1706952245756&size=80,ETA,NewJeans,2:32
멜론,59,https://cdn.chartin.me/image/album/melon/11358100.jpg?v=1706952252728&size=80,Standing Next to You,정국,3:27
멜론,60,https://cdn.chartin.me/image/album/melon/10903868.jpg?v=1706952237282&size=80,사건의 지평선,윤하 (YOUNHA),5:01
멜론,61,https://cdn.chartin.me/image/album/melon/11404142.jpg?v=1708419856767&size=80,관객이 될게 (I stan U),아이유,3:13
멜론,62,https://cdn.chartin.me/image/album/melon/10331947.jpg?v=1706952232736&size=80,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),4:51
멜론,63,https://cdn.chartin.me/image/album/melon/11180278.jpg?v=1706952241684&size=80,심(心),DK(디셈버),4:18
멜론,64,https://cdn.chartin.me/image/album/melon/10037969.jpg?v=1706952231279&size=80,봄날,방탄소년단,4:34
멜론,65,https://cdn.chartin.me/image/album/melon/11242411.jpg?v=1706952244728&size=80,사랑..그게 뭔데,지아,3:46
멜론,66,https://cdn.chartin.me/image/album/melon/11215072.jpg?v=1706952243244&size=80,사랑하지 않아서 그랬어,임한별,3:44
멜론,67,https://cdn.chartin.me/image/album/melon/11154218.jpg?v=1706952240751&size=80,그대가 내 안에 박혔다(그내박),순순희(기태),3:38
멜론,68,https://cdn.chartin.me/image/album/melon/11236264.jpg?v=1706952244336&size=80,Spicy,aespa,3:18
멜론,69,https://cdn.chartin.me/image/album/melon/11382496.jpg?v=1706952258434&size=80,사랑할 수밖에,볼빨간사춘기,3:46
멜론,70,https://cdn.chartin.me/image/album/melon/10479150.jpg?v=1706952233872&size=80,Dynamite,방탄소년단,3:20
멜론,71,https://cdn.chartin.me/image/album/melon/11398907.jpg?v=1706952275188&size=80,기억해줘요 내 모든 날과 그때를,화곡동 청개구리,3:37
멜론,72,https://cdn.chartin.me/image/album/melon/10816959.jpg?v=1706952236377&size=80,취중고백,김민석,3:48
멜론,73,https://cdn.chartin.me/image/album/melon/11234678.jpg?v=1706952244137&size=80,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌),3:06
멜론,74,https://cdn.chartin.me/image/album/melon/11323044.jpg?v=1706952248426&size=80,별 떨어진다 (I Do),디오 (D.O.),2:44
